,News Media,Date,Tweets Ago,Compound,Positive,Neutral,Negative,Tweet
455,nytimes,Tue Sep 11 19:15:05 +0000 2018,56,-0.0772,0.111,0.766,0.123,U.S. unemployment is down and jobs are going unfilled. But America’s tremendous economic growth has not led to broa… https://t.co/9gibznrplA
456,nytimes,Tue Sep 11 19:00:18 +0000 2018,57,-0.0772,0.086,0.814,0.1,Irish officials were surprised to learn President Trump planned to stop by Ireland in November. Then they were surp… https://t.co/nDFrZXSev2
457,nytimes,Tue Sep 11 18:45:06 +0000 2018,58,0.0,0.0,1.0,0.0,RT @HirokoTabuchi: Can local leaders gathered at a big climate conference in California this week make a case to the rest of the world that…
458,nytimes,Tue Sep 11 18:38:03 +0000 2018,59,0.0,0.0,1.0,0.0,RT @readercenter: Hurricane Florence is expected to make landfall in the Carolinas Thursday night and over 1 million people have been order…
459,nytimes,Tue Sep 11 18:30:08 +0000 2018,60,-0.8402,0.07,0.619,0.311,"He went to visit friends in Eritrea, but after a war broke out between the country and Ethiopia and borders closed,… https://t.co/x1qSQMfR3c"
460,nytimes,Tue Sep 11 18:15:10 +0000 2018,61,0.0,0.0,1.0,0.0,"After President Trump announced the U.S. would exit the Paris climate deal, state and local leaders said they would… https://t.co/m9V4Cf5lhV"
461,nytimes,Tue Sep 11 18:00:08 +0000 2018,62,-0.4588,0.0,0.857,0.143,A youth worker at an Arizona shelter for migrant children has been convicted of sexually abusing teenagers under hi… https://t.co/P2LbSdAIpB
462,nytimes,Tue Sep 11 17:50:06 +0000 2018,63,-0.34,0.091,0.766,0.142,"RT @nytopinion: What’s it like to live in in a war zone? @marwanhishampen and @mollycrabapple spoke with three people in Idlib, the last re…"
463,nytimes,Tue Sep 11 17:40:04 +0000 2018,64,0.0,0.0,1.0,0.0,"Hurricane Florence, which has led to evacuation orders in the Carolinas and Virginia, could bring conditions that p… https://t.co/kOklG6wWrG"
464,nytimes,Tue Sep 11 17:35:06 +0000 2018,65,0.0,0.0,1.0,0.0,RT @dougmillsnyt: .@realDonaldTrump and @FLOTUS look over the sight where Flight 93 crashed as they attend the Flight 93 September 11th Mem…
465,nytimes,Tue Sep 11 17:30:08 +0000 2018,66,-0.4939,0.148,0.556,0.296,"Extremists in eastern Afghanistan bombed a peaceful protest, killing at least 32 people, officials said https://t.co/UxpriLFpCx"
466,nytimes,Tue Sep 11 17:15:08 +0000 2018,67,0.4588,0.167,0.833,0.0,We asked readers to send us memories of their favorite New York spots. Here’s a selection. https://t.co/hxQ5QdQDC3
467,nytimes,Tue Sep 11 17:00:10 +0000 2018,68,-0.8402,0.0,0.714,0.286,"A cholera outbreak in the capital of Zimbabwe has killed at least 20 people and sickened 2,000 others in the past w… https://t.co/dFn4HZjsd6"
468,nytimes,Tue Sep 11 16:45:07 +0000 2018,69,0.0,0.0,1.0,0.0,"Apple is set to introduce a trio of new iPhones this week, including models with bigger screens — and higher starti… https://t.co/klnhIMDeqU"
