,News Media,Date,Tweets Ago,Compound,Positive,Neutral,Negative,Tweet
44,BBCBreaking,Wed Sep 05 10:01:06 +0000 2018,45,0.7351,0.321,0.545,0.133,"Rachael Bland, BBC presenter who won praise for her honest portrayal of cancer in her blog and podcast, dies aged 4… https://t.co/90T6zvn51D"
45,BBCBreaking,Tue Sep 04 16:23:45 +0000 2018,46,0.1779,0.082,0.918,0.0,UK Labour’s ruling body the NEC to adopt in full an international definition of anti-Semitism after months of rows https://t.co/crqNidbgLk
46,BBCBreaking,Tue Sep 04 04:05:29 +0000 2018,47,-0.7906,0.0,0.682,0.318,"Founder of Afghan militant network Jalaluddin Haqqani is dead after years of illness, the Taliban announces https://t.co/WL9DGkEoDd"
47,BBCBreaking,Mon Sep 03 12:16:16 +0000 2018,48,0.0,0.0,1.0,0.0,"2018 was joint-hottest summer on record for UK as a whole and the hottest for England, Met Office says https://t.co/dbKp5lDVPR"
48,BBCBreaking,Mon Sep 03 07:14:50 +0000 2018,49,-0.0516,0.0,0.941,0.059,Chris Evans reveals live on air he is to leave Radio 2 breakfast show after eight years at the helm https://t.co/xgzFkesyme
49,BBCBreaking,Mon Sep 03 04:08:27 +0000 2018,50,-0.6249,0.0,0.785,0.215,Myanmar jails two Reuters journalists for seven years over their investigation into violence against Rohingyas https://t.co/csKrk4XPxD
50,BBCBreaking,Mon Sep 03 00:43:10 +0000 2018,51,0.0258,0.109,0.786,0.105,"One of Latin America's largest natural history museums, in Brazil's Rio de Janeiro, has been hit by a massive fire https://t.co/hXegQI4Lsk"
51,BBCBreaking,Sun Sep 02 21:45:33 +0000 2018,52,-0.34,0.0,0.882,0.118,"Up in flames - dramatic images of fire at the Littlewoods Pools building, one of Liverpool's most famous landmarks https://t.co/sXBSryMSmE"
52,BBCBreaking,Fri Aug 31 21:55:30 +0000 2018,53,-0.7003,0.0,0.721,0.279,"Janbaz Tarin, 21, charged with murders of Raneem Oudeh and her mother Khaola Saleem in Solihull https://t.co/rKisbSWW2S"
53,BBCBreaking,Fri Aug 31 20:16:13 +0000 2018,54,0.4215,0.141,0.859,0.0,"The United States is ending all funding for the UN's Palestinian refugee agency, the State Department says https://t.co/V2RJe5Mtft"
54,BBCBreaking,Fri Aug 31 19:54:02 +0000 2018,55,0.0,0.0,1.0,0.0,"US-Canada trade talks break up without deal but negotiations will continue next week, US official confirms https://t.co/rb1dDmFCam"
55,BBCBreaking,Fri Aug 31 15:53:33 +0000 2018,56,-0.6705,0.0,0.78,0.22,"Leader of pro-Russian self-declared Donetsk republic in eastern Ukraine killed in cafe blast, his government says https://t.co/aNFtUbsJhI"
56,BBCBreaking,Fri Aug 31 14:16:56 +0000 2018,57,-0.836,0.0,0.717,0.283,Naa'imur Zakariyah Rahman jailed for life with minimum term of 30 years for plot to kill UK PM in Downing Street https://t.co/EfFMkw3ZjF
57,BBCBreaking,Fri Aug 31 09:15:51 +0000 2018,58,0.0,0.0,1.0,0.0,London’s new Crossrail underground line will not open until autumn 2019 - nine months after its scheduled launch https://t.co/ngGSraTbFT
58,BBCBreaking,Fri Aug 31 06:08:23 +0000 2018,59,0.0,0.0,1.0,0.0,Coca-Cola is to buy the Costa Coffee chain from Whitbread for £3.9bn https://t.co/f49WFwsGMa
59,BBCBreaking,Fri Aug 31 00:23:31 +0000 2018,60,-0.875,0.0,0.583,0.417,"A man, 21, is arrested in Birmingham on suspicion of murdering a mother and her daughter in Solihull https://t.co/jkYhhXCCGq"
60,BBCBreaking,Thu Aug 30 16:22:13 +0000 2018,61,-0.926,0.0,0.491,0.509,French actor Gerard Depardieu accused of rape and sexual assault - judicial sources. He denies the claims https://t.co/zrYcCpV2qz
61,BBCBreaking,Thu Aug 30 16:09:23 +0000 2018,62,0.296,0.152,0.758,0.091,UK payday lender Wonga enters administration amid surge in compensation claims over interest charged to customers https://t.co/jJpFbK1iFg
62,BBCBreaking,Thu Aug 30 15:32:45 +0000 2018,63,-0.3182,0.0,0.881,0.119,"Veteran MP Frank Field resigns Labour whip, saying the party's leadership has become ""a force for anti-Semitism"" https://t.co/eoozL8vNI5"
63,BBCBreaking,Thu Aug 30 10:02:06 +0000 2018,64,-0.4588,0.185,0.556,0.259,"Unmarried NI mother wins access to widowed parent's allowance after death of her partner, in landmark court ruling https://t.co/NPn0Vj8lon"
64,BBCBreaking,Wed Aug 29 19:56:56 +0000 2018,65,-0.34,0.13,0.625,0.245,"Ex-SNP leader Alex Salmond resigns from the party amid sexual misconduct claims, which he denies https://t.co/2mxGt8ARaE"
65,BBCBreaking,Wed Aug 29 10:17:34 +0000 2018,66,-0.8689,0.11,0.394,0.496,Charity worker Nazanin Zaghari-Ratcliffe taken to prison doctors in Iran after suffering panic attacks https://t.co/9mjFsoDtUC
66,BBCBreaking,Wed Aug 29 09:28:43 +0000 2018,67,0.296,0.163,0.737,0.1,"After facing protests and slumping approval ratings, Russian President Vladimir Putin softens reforms to pensions https://t.co/YrCYRK2oC9"
67,BBCBreaking,Sun Aug 26 23:33:34 +0000 2018,68,-0.8555,0.0,0.693,0.307,"Police give death toll in shooting at Jacksonville, Florida as two, plus the gunman who killed himself at the scene https://t.co/lz5XpqA7Dj"
68,BBCBreaking,Sun Aug 26 20:35:54 +0000 2018,69,-0.296,0.0,0.872,0.128,Florida police say the only suspect in the Jacksonville shooting is deceased at the scene https://t.co/jBXsEJvGM3
69,BBCBreaking,Sun Aug 26 18:53:23 +0000 2018,70,-0.2732,0.158,0.621,0.22,"Police report fatalities in mass shooting at entertainment complex in Jacksonville, Florida https://t.co/tKF7FXMwhb"
70,BBCBreaking,Sun Aug 26 18:42:23 +0000 2018,71,0.4215,0.167,0.833,0.0,"Police in Jacksonville, Florida say are responding to a mass shooting at an entertainment complex https://t.co/iiQ1KcYL9P"
71,BBCBreaking,Sun Aug 26 14:31:14 +0000 2018,72,0.264,0.143,0.768,0.089,"Charity worker Nazanin Zaghari-Ratcliffe has not been granted extension to temporary release in Iran, husband says https://t.co/A6NODNmwyO"
72,BBCBreaking,Sun Aug 26 00:25:40 +0000 2018,73,-0.5994,0.156,0.519,0.325,"John McCain, Vietnam war hero turned senator and presidential candidate, has died aged 81 https://t.co/QKtuXtbG6P"
73,BBCBreaking,Sat Aug 25 09:29:59 +0000 2018,74,0.0,0.0,1.0,0.0,"Pope Francis lands in Ireland

Follow live reporting: https://t.co/ASSLPyq5B9 #PopeInIreland"
74,BBCBreaking,Fri Aug 24 15:15:44 +0000 2018,75,-0.7184,0.0,0.739,0.261,"US Republican senator John McCain is discontinuing treatment for an aggressive form of brain cancer, his family says https://t.co/vKpSPZfQ6T"
75,BBCBreaking,Fri Aug 24 02:56:55 +0000 2018,76,-0.0772,0.124,0.737,0.138,Scott Morrison is Australia's new PM after Malcolm Turnbull is forced out by party rivals - media reports https://t.co/50FBR7T5qd
76,BBCBreaking,Fri Aug 24 02:44:28 +0000 2018,77,0.1027,0.129,0.762,0.11,Australia loses another PM to a party coup as Malcolm Turnbull is ousted by his rivals - media reports https://t.co/HtvOWXtChD
77,BBCBreaking,Thu Aug 23 20:22:22 +0000 2018,78,-0.5994,0.0,0.83,0.17,Thomas Cook to remove all its customers from a hotel in Egypt as a precaution after the death of a British couple https://t.co/F97jQaYIjq
78,BBCBreaking,Thu Aug 23 13:24:00 +0000 2018,79,-0.5106,0.0,0.798,0.202,UK mother Nazanin Zaghari-Ratcliffe gets three days temporary release from prison in Iran https://t.co/ROTDgakNkz
79,BBCBreaking,Thu Aug 23 10:45:39 +0000 2018,80,-0.8689,0.0,0.659,0.341,"Paris incident that saw two people killed, before knifeman was shot dead by police, was ""family quarrel"" - interior… https://t.co/FwNBDRbRCC"
80,BBCBreaking,Thu Aug 23 09:53:52 +0000 2018,81,-0.8316,0.0,0.658,0.342,"Knifeman in Paris kills two and injures others, before being shot dead by police - reports 

https://t.co/JSfD9p1RI7 #Trappes"
81,BBCBreaking,Thu Aug 23 02:20:15 +0000 2018,82,0.1027,0.204,0.663,0.133,Australia's parliament is adjourned as PM Malcolm Turnbull battles a leadership challenge within his own party https://t.co/WzMWrQXTmq
82,BBCBreaking,Tue Aug 21 21:13:54 +0000 2018,83,-0.743,0.0,0.741,0.259,"Trump's former lawyer Michael Cohen pleads guilty to violating campaign finance laws, says he did so at direction o… https://t.co/7uhG4OgWCN"
83,BBCBreaking,Tue Aug 21 20:42:50 +0000 2018,84,-0.8689,0.096,0.496,0.408,"Ex-Trump campaign chief Paul Manafort guilty of tax fraud charges, jury fails to reach verdict on 10 other counts https://t.co/MGE9MXVJHP"
84,BBCBreaking,Tue Aug 21 18:06:27 +0000 2018,85,0.0,0.0,1.0,0.0,Former Trump lawyer Michael Cohen has entered into a plea deal with US federal prosecutors in New York - US media https://t.co/rsFDlL3y0e
85,BBCBreaking,Tue Aug 21 17:29:32 +0000 2018,86,0.1779,0.144,0.746,0.109,"Oscar-winning Danny Boyle will no longer direct 25th Bond film due to ""creative differences"", producers say https://t.co/aDCEisxObU"
86,BBCBreaking,Tue Aug 21 11:32:11 +0000 2018,87,-0.3612,0.055,0.822,0.123,Some 18 members of UK's Windrush generation who could have been wrongfully removed or detained to get formal apology https://t.co/IzAdAWOI6B
87,BBCBreaking,Tue Aug 21 11:02:33 +0000 2018,88,0.0,0.0,1.0,0.0,"""My involvement in the events around Hillsborough has often been misrepresented""

Sir Norman Bettison says he's bee… https://t.co/bmngLKJhsZ"
88,BBCBreaking,Tue Aug 21 09:47:46 +0000 2018,89,-0.891,0.0,0.528,0.472,"Charges are dropped against ex-police chief Sir Norman Bettison, accused of blaming fans for Hillsborough disaster https://t.co/EfY2DZyaVP"
89,BBCBreaking,Sat Aug 18 09:37:01 +0000 2018,90,0.8885,0.396,0.604,0.0,"Kofi Annan, the former UN secretary-general who won the Nobel Peace Prize for humanitarian work, dies aged 80 https://t.co/lNj6TEmNPo"
90,BBCBreaking,Fri Aug 17 14:04:14 +0000 2018,91,-0.8402,0.0,0.68,0.32,"At least 324 people die in monsoon floods in India's southern state of Kerala, the worst in a century… https://t.co/hC2AGYrMNB"
91,BBCBreaking,Fri Aug 17 12:57:57 +0000 2018,92,0.0,0.0,1.0,0.0,Former cricket star Imran Khan elected as prime minister of Pakistan in a vote at the National Assembly… https://t.co/oicoE4TKNT
92,BBCBreaking,Thu Aug 16 14:42:45 +0000 2018,93,0.0,0.0,1.0,0.0,Aretha Franklin: The 'Queen of Soul' in her own words https://t.co/MxfBq9n0Id https://t.co/rT4RAMHHti
93,BBCBreaking,Thu Aug 16 14:21:20 +0000 2018,94,0.5719,0.252,0.748,0.0,Aretha Franklin: Celebrating the life of the 'Queen of Soul' https://t.co/6EH1t1As1N https://t.co/NTX2mg6IGw
94,BBCBreaking,Thu Aug 16 14:07:50 +0000 2018,95,0.8442,0.402,0.598,0.0,"'Queen of Soul' Aretha Franklin, whose stunning voice graced hits like Respect and I Say A Little Prayer, dies aged… https://t.co/OJ5yn1WInk"
95,BBCBreaking,Thu Aug 16 12:13:20 +0000 2018,96,0.0,0.0,1.0,0.0,Three-time Indian Prime Minister AB Vajpayee dies aged 93 https://t.co/fCCnzRBUvI
96,BBCBreaking,Thu Aug 16 08:31:49 +0000 2018,97,0.0,0.0,1.0,0.0,More than one in four A-levels were graded A or A* this year - the highest proportion for six years https://t.co/QX6Vjsfr7w
97,BBCBreaking,Wed Aug 15 18:54:35 +0000 2018,98,0.0516,0.122,0.765,0.112,"President Trump revokes the security clearance of ex-CIA director John Brennan, one of his frequent critics https://t.co/xXNyrXhLOu"
98,BBCBreaking,Wed Aug 15 13:33:39 +0000 2018,99,0.0,0.0,1.0,0.0,"Sir Cliff Richard ""welcomes"" decision by BBC not to appeal against ruling over its coverage of a police raid on his… https://t.co/X8abVJtsfK"
99,BBCBreaking,Wed Aug 15 13:02:06 +0000 2018,100,0.0,0.0,1.0,0.0,The BBC will not appeal against a ruling over its coverage of a police raid at Sir Cliff Richard's home in 2014 https://t.co/b4jzZf92ah
100,CBSNews,Wed Sep 12 02:25:28 +0000 2018,1,0.5423,0.295,0.601,0.104,Proactive response by Dallas leaders helps stymie large-scale protests over man's shooting death… https://t.co/32jncbChmg
101,CBSNews,Wed Sep 12 02:04:54 +0000 2018,2,0.0,0.0,1.0,0.0,"“It was a reminder that even in the era of Trump, there are other forces at work,” says Michael Graham on Chris Pap… https://t.co/eSH9hOY87O"
102,CBSNews,Wed Sep 12 01:43:43 +0000 2018,3,0.824,0.31,0.69,0.0,Molly Kelly wins the NH Democratic nomination for governor. She will face Republican incumbent Gov. Chris Sununu in… https://t.co/vvGGUbZNy2
103,CBSNews,Wed Sep 12 01:39:39 +0000 2018,4,-0.4648,0.128,0.607,0.264,NEVER FORGET: Visitors of the 9/11 memorial in New York City honored the victims of the attacks by lining the edges… https://t.co/uGTGzpzSLs
104,CBSNews,Wed Sep 12 01:20:19 +0000 2018,5,-0.8531,0.0,0.646,0.354,"HEARTLESS: A gas station clerk collapsed from a medical issue, and three thieves robbed the store as he lay on the… https://t.co/WaItomxwTz"
105,CBSNews,Wed Sep 12 00:59:49 +0000 2018,6,0.0,0.0,1.0,0.0,North Carolina's wild horses are expected to survive Hurricane Florence https://t.co/9195xsmAH7 https://t.co/QY8SdYVaOV
106,CBSNews,Wed Sep 12 00:29:46 +0000 2018,7,0.6289,0.205,0.795,0.0,FACING JUSTICE: New facial recognition technology in airports is already catching imposters trying to illegally ent… https://t.co/CPvV5c0rwc
107,CBSNews,Wed Sep 12 00:09:41 +0000 2018,8,0.5106,0.202,0.798,0.0,"Heroes of Flight 93 remembered at ""Tower of Voices"" memorial in Pennsylvania https://t.co/4k8fjrRPKI https://t.co/gDb5QVe3Cm"
108,CBSNews,Tue Sep 11 23:47:03 +0000 2018,9,0.6037,0.164,0.836,0.0,Polls for the NH primary elections are now closed. Voters chose nominees for an open Congressional seat in one dist… https://t.co/r8fjrWVJhD
109,CBSNews,Tue Sep 11 23:30:01 +0000 2018,10,-0.2732,0.0,0.877,0.123,"President Trump postpones planned trip to Ireland, where he was expected to face widespread protests… https://t.co/CvXzURD0re"
110,CBSNews,Tue Sep 11 23:10:28 +0000 2018,11,0.7925,0.349,0.651,0.0,PROTECT YOUR PETS: Nine important tips for keeping your furry family members safe ahead of Hurricane Florence… https://t.co/lsfwcgte9y
111,CBSNews,Tue Sep 11 23:04:55 +0000 2018,12,-0.4767,0.184,0.544,0.272,A New Jersey couple is in legal jeopardy after their good news story turned into a criminal investigation.… https://t.co/EpWldM4yjH
112,CBSNews,Tue Sep 11 23:00:17 +0000 2018,13,0.7096,0.262,0.687,0.052,"RT @CBSEveningNews: Facial recognition technology used at some TSA airport checkpoints has been touted as a success by security officials,…"
113,CBSNews,Tue Sep 11 22:59:08 +0000 2018,14,-0.8126,0.0,0.697,0.303,"REMEMBERING 9/11: The nearly 3,000 people killed in the New York, Washington, D.C., and Shanksville, PA attacks are… https://t.co/FmwfJq6Z6e"
114,CBSNews,Tue Sep 11 22:59:00 +0000 2018,15,-0.9186,0.0,0.625,0.375,"RT @CBSEveningNews: More than 2,200 American troops have been killed and over 31,000 Afghans have died since the war in Afghanistan began i…"
115,CBSNews,Tue Sep 11 22:54:09 +0000 2018,16,-0.2732,0.0,0.905,0.095,"RT @CBSEveningNews: North Carolina’s governor warned residents on Tuesday not to ""bet your life on riding out a monster"" as Hurricane Flore…"
116,CBSNews,Tue Sep 11 22:49:47 +0000 2018,17,0.2732,0.147,0.756,0.098,"As Hurricane Florence bears down, one of South Carolina's largest counties has no shelters strong enough for it… https://t.co/ubvK8pkp6k"
117,CBSNews,Tue Sep 11 22:44:42 +0000 2018,18,0.0,0.0,1.0,0.0,"Over a million people have been ordered to evacuate ahead of Hurricane Florence, but some locals are staying put—de… https://t.co/oAe02r1HuL"
118,CBSNews,Tue Sep 11 22:29:32 +0000 2018,19,-0.2263,0.157,0.629,0.214,"17 years after 9/11, extremism is an greater global threat https://t.co/oHp0i5bvyE https://t.co/KqR3l1TY2W"
119,CBSNews,Tue Sep 11 22:08:35 +0000 2018,20,0.2023,0.087,0.913,0.0,"""It's important to remember that most of those [Maria] deaths came after the storm made landfall and they happened,… https://t.co/npaN98hEO5"
120,CBSNews,Wed Sep 12 02:25:28 +0000 2018,21,0.5423,0.295,0.601,0.104,Proactive response by Dallas leaders helps stymie large-scale protests over man's shooting death… https://t.co/32jncbChmg
121,CBSNews,Wed Sep 12 02:04:54 +0000 2018,22,0.0,0.0,1.0,0.0,"“It was a reminder that even in the era of Trump, there are other forces at work,” says Michael Graham on Chris Pap… https://t.co/eSH9hOY87O"
122,CBSNews,Wed Sep 12 01:43:43 +0000 2018,23,0.824,0.31,0.69,0.0,Molly Kelly wins the NH Democratic nomination for governor. She will face Republican incumbent Gov. Chris Sununu in… https://t.co/vvGGUbZNy2
123,CBSNews,Wed Sep 12 01:39:39 +0000 2018,24,-0.4648,0.128,0.607,0.264,NEVER FORGET: Visitors of the 9/11 memorial in New York City honored the victims of the attacks by lining the edges… https://t.co/uGTGzpzSLs
124,CBSNews,Wed Sep 12 01:20:19 +0000 2018,25,-0.8531,0.0,0.646,0.354,"HEARTLESS: A gas station clerk collapsed from a medical issue, and three thieves robbed the store as he lay on the… https://t.co/WaItomxwTz"
125,CBSNews,Wed Sep 12 00:59:49 +0000 2018,26,0.0,0.0,1.0,0.0,North Carolina's wild horses are expected to survive Hurricane Florence https://t.co/9195xsmAH7 https://t.co/QY8SdYVaOV
126,CBSNews,Wed Sep 12 00:29:46 +0000 2018,27,0.6289,0.205,0.795,0.0,FACING JUSTICE: New facial recognition technology in airports is already catching imposters trying to illegally ent… https://t.co/CPvV5c0rwc
127,CBSNews,Wed Sep 12 00:09:41 +0000 2018,28,0.5106,0.202,0.798,0.0,"Heroes of Flight 93 remembered at ""Tower of Voices"" memorial in Pennsylvania https://t.co/4k8fjrRPKI https://t.co/gDb5QVe3Cm"
128,CBSNews,Tue Sep 11 23:47:03 +0000 2018,29,0.6037,0.164,0.836,0.0,Polls for the NH primary elections are now closed. Voters chose nominees for an open Congressional seat in one dist… https://t.co/r8fjrWVJhD
129,CBSNews,Tue Sep 11 23:30:01 +0000 2018,30,-0.2732,0.0,0.877,0.123,"President Trump postpones planned trip to Ireland, where he was expected to face widespread protests… https://t.co/CvXzURD0re"
130,CBSNews,Tue Sep 11 23:10:28 +0000 2018,31,0.7925,0.349,0.651,0.0,PROTECT YOUR PETS: Nine important tips for keeping your furry family members safe ahead of Hurricane Florence… https://t.co/lsfwcgte9y
131,CBSNews,Tue Sep 11 23:04:55 +0000 2018,32,-0.4767,0.184,0.544,0.272,A New Jersey couple is in legal jeopardy after their good news story turned into a criminal investigation.… https://t.co/EpWldM4yjH
132,CBSNews,Tue Sep 11 23:00:17 +0000 2018,33,0.7096,0.262,0.687,0.052,"RT @CBSEveningNews: Facial recognition technology used at some TSA airport checkpoints has been touted as a success by security officials,…"
133,CBSNews,Tue Sep 11 22:59:08 +0000 2018,34,-0.8126,0.0,0.697,0.303,"REMEMBERING 9/11: The nearly 3,000 people killed in the New York, Washington, D.C., and Shanksville, PA attacks are… https://t.co/FmwfJq6Z6e"
134,CBSNews,Tue Sep 11 22:59:00 +0000 2018,35,-0.9186,0.0,0.625,0.375,"RT @CBSEveningNews: More than 2,200 American troops have been killed and over 31,000 Afghans have died since the war in Afghanistan began i…"
135,CBSNews,Tue Sep 11 22:54:09 +0000 2018,36,-0.2732,0.0,0.905,0.095,"RT @CBSEveningNews: North Carolina’s governor warned residents on Tuesday not to ""bet your life on riding out a monster"" as Hurricane Flore…"
136,CBSNews,Tue Sep 11 22:49:47 +0000 2018,37,0.2732,0.147,0.756,0.098,"As Hurricane Florence bears down, one of South Carolina's largest counties has no shelters strong enough for it… https://t.co/ubvK8pkp6k"
137,CBSNews,Tue Sep 11 22:44:42 +0000 2018,38,0.0,0.0,1.0,0.0,"Over a million people have been ordered to evacuate ahead of Hurricane Florence, but some locals are staying put—de… https://t.co/oAe02r1HuL"
138,CBSNews,Tue Sep 11 22:29:32 +0000 2018,39,-0.2263,0.157,0.629,0.214,"17 years after 9/11, extremism is an greater global threat https://t.co/oHp0i5bvyE https://t.co/KqR3l1TY2W"
139,CBSNews,Tue Sep 11 22:08:35 +0000 2018,40,0.2023,0.087,0.913,0.0,"""It's important to remember that most of those [Maria] deaths came after the storm made landfall and they happened,… https://t.co/npaN98hEO5"
140,CBSNews,Tue Sep 11 21:47:27 +0000 2018,41,0.0,0.0,1.0,0.0,You know you're on live TV when... 🙈🙈🙈https://t.co/RdRLJTTt6r https://t.co/aSuokS8iY7
141,CBSNews,Tue Sep 11 21:44:30 +0000 2018,42,-0.6597,0.0,0.784,0.216,"At least 15 men near Ground Zero after 9/11 have breast cancer, law firm says
https://t.co/u0fFzTpCBe https://t.co/ZalzH7VCOt"
142,CBSNews,Tue Sep 11 21:30:24 +0000 2018,43,0.0,0.0,1.0,0.0,"""Unsung success"": President Trump calls his administration's handling of Puerto Rico's hurricanes — which were amon… https://t.co/CrMhcDOinC"
143,CBSNews,Tue Sep 11 21:27:33 +0000 2018,44,-0.5423,0.0,0.851,0.149,Time's Up calls on CBS to donate $120 million from former CEO Leslie Moonves' severance package to sex harassment g… https://t.co/jz8N2mKlI2
144,CBSNews,Tue Sep 11 21:01:01 +0000 2018,45,0.6369,0.189,0.811,0.0,"This couple took their love ""to infinity and beyond"" when they tied the knot in Chicago this summer… https://t.co/wmlRs4fYSv"
145,CBSNews,Tue Sep 11 20:40:31 +0000 2018,46,-0.7579,0.0,0.723,0.277,Hurricane Florence is expected to pummel the East Coast later this week with catastrophic flooding and damaging win… https://t.co/grjZWkfXB6
146,CBSNews,Tue Sep 11 20:21:16 +0000 2018,47,-0.4588,0.0,0.864,0.136,WATCH: This mom is listening to her 19-year-old son's heartbeat – except his heart is now beating inside the chest… https://t.co/4VSaNFNOrz
147,CBSNews,Tue Sep 11 20:06:07 +0000 2018,48,0.296,0.167,0.833,0.0,"Amazon's patent for caging workers was ""bad"" idea, exec admits  https://t.co/JPgWeYsTXX https://t.co/AlYQf70VAn"
148,CBSNews,Tue Sep 11 19:49:59 +0000 2018,49,0.0,0.0,1.0,0.0,"""I think that Puerto Rico was an incredible, unsung success,"" President Trump says of response effort to Hurricane… https://t.co/aWA74fICNU"
149,CBSNews,Tue Sep 11 19:47:02 +0000 2018,50,0.0,0.0,1.0,0.0,"Reporter: What lesson do we take from what happened in Puerto Rico? 

President Trump: I think that Puerto Rico was… https://t.co/GDYdCtf4Ec"
150,CBSNews,Tue Sep 11 19:45:35 +0000 2018,51,-0.1779,0.0,0.918,0.082,"WATCH: Russian President Vladimir Putin and China's President Xi Jinping both flip flop — but not on the issues, on… https://t.co/Y3wrkEPmcc"
151,CBSNews,Tue Sep 11 19:43:36 +0000 2018,52,-0.3612,0.1,0.747,0.153,"""This has an opportunity of being a devastating storm. The power is going to be off for weeks and you will be displ… https://t.co/LWO2rXAaND"
152,CBSNews,Tue Sep 11 19:38:20 +0000 2018,53,0.0,0.0,1.0,0.0,"MOMENTS AGO: President Trump speaks on Hurricane Florence during FEMA meeting. The president says, ""We are totally… https://t.co/f5p5WQlx4b"
153,CBSNews,Tue Sep 11 19:30:50 +0000 2018,54,-0.34,0.0,0.882,0.118,"International Space Station commander says his crew had nothing to do with causing a recent leak, which Russia blam… https://t.co/aPenw6r4pc"
154,CBSNews,Tue Sep 11 19:14:54 +0000 2018,55,-0.4939,0.0,0.849,0.151,"Hurricane Florence could cost the East Coast more than $170 billion and damage nearly 759,000 homes and businesses,… https://t.co/CyYfHtGc6d"
155,CBSNews,Tue Sep 11 19:01:44 +0000 2018,56,0.6124,0.2,0.8,0.0,This Chicago Cubs fan with Down syndrome had one wish: To sing the national anthem at Wrigley Field. And after rais… https://t.co/Vml7vioJoB
156,CBSNews,Tue Sep 11 18:44:47 +0000 2018,57,0.5994,0.224,0.776,0.0,Woman convicted of helping a former street preacher kidnap Elizabeth Smart as a teenager from her Salt Lake City be… https://t.co/fITLQRiqXj
157,CBSNews,Tue Sep 11 18:30:30 +0000 2018,58,-0.4767,0.0,0.846,0.154,"""Wizards of Waverly Place"" actor David Henrie arrested for bringing a loaded handgun to LAX Airport, police say… https://t.co/8vuEaXAZMq"
158,CBSNews,Tue Sep 11 18:14:44 +0000 2018,59,-0.296,0.0,0.82,0.18,Video shows teens robbing gas station after clerk collapses https://t.co/AjrWUzlxAc https://t.co/A1FV2oOh0b
159,CBSNews,Tue Sep 11 18:00:36 +0000 2018,60,0.7034,0.255,0.745,0.0,RANDOM ACT OF KINDNESS: Watch this teenage boy surprise his school's custodian with a new pair of sneakers ❤️️👟❤️️… https://t.co/cLCCrzN9Zb
160,CBSNews,Tue Sep 11 17:45:10 +0000 2018,61,0.0,0.0,1.0,0.0,"DINOSURF: This T-Rex went surfing off the Danish coast in what is known as ""Cold Hawaii"" -- and his skills are surp… https://t.co/p0fa20MXBC"
161,CBSNews,Tue Sep 11 17:29:37 +0000 2018,62,-0.1695,0.0,0.868,0.132,"Stephen Colbert says he's ""not surprised"" by Les Moonves' exit https://t.co/tfTYvQEFfa https://t.co/IZZyHVZ0Co"
162,CBSNews,Tue Sep 11 17:14:37 +0000 2018,63,-0.6908,0.0,0.711,0.289,LAPD video shows officer shot at point blank range before her partner kills suspect https://t.co/S8iT48k5Xn https://t.co/iLUb34FTm1
163,CBSNews,Tue Sep 11 17:12:11 +0000 2018,64,0.296,0.109,0.891,0.0,"RT @CBSThisMorning: In our series #ProfilesInService, we spotlight some of the extraordinary Americans dedicating their lives to helping ot…"
164,CBSNews,Tue Sep 11 16:59:53 +0000 2018,65,0.0,0.0,1.0,0.0,Hurricane Florence could hit North Carolina with same punch as Hurricane Hazel in 1954 https://t.co/KRXKZuTj8R https://t.co/s29c5nyLCM
165,CBSNews,Tue Sep 11 16:56:07 +0000 2018,66,0.0,0.0,1.0,0.0,"""It is one of the those storms that is historic and maybe once in a lifetime,"" NC Gov. Cooper says of… https://t.co/4aVrLszxDp"
166,CBSNews,Tue Sep 11 16:50:17 +0000 2018,67,0.5267,0.129,0.871,0.0,"""The state to our knowledge has never issued an evacuation order. This is the first one of its kind and I have –– a… https://t.co/0hzBSH2ZBS"
167,CBSNews,Tue Sep 11 16:45:17 +0000 2018,68,0.0,0.0,1.0,0.0,"WATCH: Northern Lights put on a dazzling spectacle above the Article Circle on Monday, as ribbons of other-worldly… https://t.co/aytEwThVAg"
168,CBSNews,Tue Sep 11 16:43:44 +0000 2018,69,-0.1027,0.0,0.928,0.072,"North Carolina @DirectorNCEM says this storm is going to be ""unprecedented"" and warns citizens to ""take it seriousl… https://t.co/BB6ohhinsl"
169,CBSNews,Tue Sep 11 16:39:18 +0000 2018,70,0.0,0.0,1.0,0.0,WATCH: North Carolina Governor Roy Cooper addresses Hurricane Florence preparations https://t.co/0B3li498Rg https://t.co/I49Y4m5acM
170,CBSNews,Tue Sep 11 16:30:06 +0000 2018,71,0.3612,0.116,0.884,0.0,"""I don't know how you draw an African-American person by not making them look like an African-American person."" The… https://t.co/iAdlhCqEqp"
171,CBSNews,Tue Sep 11 16:14:30 +0000 2018,72,-0.3818,0.096,0.696,0.209,"Tesla shares slip as analyst calls company ""uninvestable,"" warns that Elon Musk's ""erratic behavior"" may hurt the a… https://t.co/AWEgmaCIFT"
172,CBSNews,Tue Sep 11 15:59:39 +0000 2018,73,0.0,0.0,1.0,0.0,"Gayle King says CBS ""must have transparency"" with Les Moonves investigation https://t.co/JKZrlwGbca https://t.co/c3zDI4KiFv"
173,CBSNews,Tue Sep 11 15:44:41 +0000 2018,74,-0.1531,0.0,0.926,0.074,Rare video from ground zero on 9/11: Only 29 minutes passed between the two World Trade Center towers falling. Phot… https://t.co/WlTtFytASs
